epoch,train_loss,train_acc,train_mean_class_acc,val_loss,val_acc,val_mean_class_acc,lr
83,1.251164,0.723633,0.663927,1.409882,0.561416,0.486613,0.00010840
84,1.259330,0.718991,0.659727,1.381017,0.572172,0.503147,0.00010305
85,1.252353,0.721356,0.663625,1.411858,0.565579,0.490141,0.00009781
86,1.237088,0.727137,0.667479,1.401593,0.568008,0.494183,0.00009267
87,1.234671,0.734233,0.676700,1.418899,0.562804,0.485402,0.00008764
88,1.210483,0.738875,0.684075,1.407268,0.567661,0.499514,0.00008272
89,1.223116,0.732656,0.674929,1.393485,0.564539,0.489548,0.00007791
90,1.224125,0.728977,0.670357,1.404639,0.566620,0.491407,0.00007322
91,1.211030,0.739401,0.683243,1.392592,0.569396,0.491801,0.00006866
92,1.210499,0.741153,0.683415,1.399464,0.564885,0.490964,0.00006421
93,1.187958,0.747898,0.691175,1.416067,0.560028,0.480941,0.00005990
94,1.195035,0.744569,0.689526,1.390389,0.574254,0.502412,0.00005571
95,1.197962,0.744569,0.687029,1.426316,0.569049,0.499248,0.00005166
96,1.191103,0.750263,0.695042,1.410379,0.571478,0.495763,0.00004775
97,1.188527,0.746409,0.691304,1.415973,0.564885,0.487879,0.00004397
98,1.175478,0.757270,0.701596,1.400142,0.566273,0.490365,0.00004033
99,1.182205,0.753679,0.702785,1.400824,0.571825,0.496272,0.00003684
100,1.184075,0.750613,0.695480,1.408519,0.565926,0.487520,0.00003349
101,1.181338,0.754292,0.697906,1.409622,0.565232,0.484765,0.00003030
102,1.167268,0.759022,0.704162,1.404928,0.568702,0.494418,0.00002725
103,1.162548,0.758847,0.702396,1.418475,0.566967,0.494119,0.00002435
104,1.169114,0.756833,0.700829,1.419286,0.563498,0.488145,0.00002161
105,1.162066,0.762789,0.711941,1.418895,0.564539,0.485487,0.00001903
106,1.161648,0.756745,0.702753,1.406826,0.571825,0.498952,0.00001660
107,1.165004,0.763315,0.710529,1.406145,0.571131,0.494541,0.00001434
108,1.150524,0.770147,0.719031,1.410544,0.572519,0.497687,0.00001224
109,1.169397,0.760512,0.707567,1.419193,0.570090,0.498572,0.00001030
110,1.151451,0.768395,0.718988,1.411070,0.568702,0.497704,0.00000852
111,1.146944,0.769972,0.716475,1.433515,0.563498,0.489093,0.00000691
112,1.152487,0.768132,0.715452,1.434506,0.564885,0.490428,0.00000546
113,1.143321,0.771899,0.722460,1.409820,0.569049,0.496908,0.00000419
114,1.152441,0.762877,0.709858,1.426662,0.560722,0.486832,0.00000308
115,1.155081,0.762351,0.710442,1.406691,0.566620,0.493286,0.00000214
116,1.148577,0.768746,0.716718,1.415624,0.571825,0.495732,0.00000137
117,1.153878,0.763402,0.709183,1.399484,0.571478,0.500435,0.00000077
118,1.142597,0.768658,0.717236,1.404599,0.574254,0.500355,0.00000034
119,1.145780,0.769446,0.718679,1.412826,0.569743,0.499339,0.00000009
120,1.145734,0.769972,0.719839,1.412015,0.568008,0.492079,0.00000000
