epoch,train_loss,train_acc,train_mean_class_acc,val_loss,val_acc,val_mean_class_acc,lr
83,1.127797,0.627278,0.569237,1.207382,0.614504,0.561254,0.00006963
84,1.125988,0.636650,0.574552,1.242747,0.616239,0.566329,0.00006185
85,1.131663,0.629643,0.568045,1.254374,0.598196,0.551079,0.00005450
86,1.111973,0.636125,0.578087,1.256530,0.599931,0.550731,0.00004759
87,1.110373,0.638577,0.583258,1.218856,0.610340,0.561351,0.00004112
88,1.103307,0.641293,0.585830,1.204478,0.608605,0.557776,0.00003511
89,1.114894,0.637964,0.574953,1.235760,0.614851,0.564537,0.00002956
90,1.122451,0.632183,0.574345,1.220439,0.613810,0.567472,0.00002447
91,1.114499,0.638402,0.578810,1.250507,0.608605,0.566732,0.00001985
92,1.118570,0.635950,0.577584,1.225983,0.615198,0.569257,0.00001571
93,1.110755,0.643746,0.583045,1.228497,0.607564,0.553649,0.00001204
94,1.098774,0.646724,0.588775,1.201005,0.606870,0.555817,0.00000886
95,1.099975,0.642169,0.582909,1.211541,0.615198,0.564666,0.00000616
96,1.110197,0.644446,0.585221,1.208156,0.617974,0.568479,0.00000394
97,1.111487,0.642169,0.582198,1.203716,0.620749,0.569585,0.00000222
98,1.106556,0.641381,0.580544,1.230067,0.606176,0.552152,0.00000099
99,1.117623,0.636475,0.576089,1.271151,0.595420,0.552794,0.00000025
100,1.103678,0.641643,0.581725,1.209020,0.615892,0.567442,0.00000000
